policy_number,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,has_umbrella_coverage,total_premiums_paid,Contract Years,insured_sex,insured_education_level,insured_occupation,insured_hobbies,hobby_risk_level,insured_relationship,months_as_customer,customer_category,capital-gains,capital-loss,insured_zip,age_category,incident_date,days_until_incident,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,incident_time_of_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,authorities_contacted,total_claim_amount,injury_claim,property_claim,vehicle_claim,per_person_limit,per_event_limit,auto_make,auto_model,auto_year,fraud_reported_mapped,fraud_reported
543610,42.0,2002-05-26,Ohio,100/300,500.0,1253.12,4000000,True,24540.27,20,FEMALE,Masters,exec-managerial,dancing,Medium Risk,other-relative,235,Long-Term Client,38400.0,0,462283,Middle Aged,2015-01-06,4608,Single Vehicle Collision,Front Collision,Total Loss,NY,Northbend,1558 1st Ridge,22,Evening,1,YES,2,2,Unknown,Police,87010.0,7910.0,15820.0,63280,100,300,Ford,F150,2002,0,N
214618,61.0,1999-05-29,Ohio,100/300,2000.0,1257.0,0,False,46823.25,37,FEMALE,High School,exec-managerial,skydiving,High Risk,other-relative,447,Long-Term Client,0.0,-51000,615561,Elderly,2015-02-15,5741,Multi-vehicle Collision,Front Collision,Major Damage,NY,Springfield,5971 5th Hwy,21,Evening,3,YES,1,2,YES,Fire,114920.0,17680.0,17680.0,79560,100,300,Audi,A3,2006,0,N
842643,23.0,1997-11-20,Ohio,500/1000,500.0,1215.36,3000000,True,6076.8,5,MALE,MD,protective-serv,reading,Low Risk,wife,60,Established Client,0.0,0,432220,Young Adult,2015-01-22,6272,Single Vehicle Collision,Rear Collision,Total Loss,SC,Northbend,6655 5th Drive,9,Morning,1,YES,1,0,NO,Ambulance,56520.0,4710.0,9420.0,42390,500,1000,Saab,95,2000,0,N
626808,34.0,2012-10-26,Ohio,100/300,1000.0,936.61,0,False,9444.15,10,FEMALE,MD,armed-forces,bungie-jumping,High Risk,wife,121,Established Client,52800.0,-32800,464652,Middle Aged,2015-01-08,804,Parked Car,Unknown,Minor Damage,SC,Springfield,6582 Elm Lane,5,Late Night,1,NO,1,1,NO,None,7280.0,1120.0,1120.0,5040,100,300,Toyota,Highlander,2010,0,N
644081,38.0,1998-12-28,Ohio,250/500,2000.0,1301.13,0,False,19516.95,15,FEMALE,College,machine-op-inspct,board-games,Low Risk,not-in-family,180,Long-Term Client,41300.0,-55500,476685,Middle Aged,2015-01-15,5862,Single Vehicle Collision,Rear Collision,Total Loss,SC,Springfield,6851 3rd Drive,12,Afternoon,1,NO,0,2,YES,Police,46200.0,4200.0,8400.0,33600,250,500,Dodge,Neon,2003,1,Y
892874,58.0,1992-10-19,Indiana,100/300,2000.0,1131.4,0,False,44596.02,39,FEMALE,MD,transport-moving,movies,Low Risk,other-relative,473,Long-Term Client,55700.0,0,458733,Elderly,2015-01-29,8137,Multi-vehicle Collision,Side Collision,Major Damage,WV,Hillsdale,9573 Weaver Ave,12,Afternoon,4,YES,0,0,NO,Other,63120.0,10520.0,10520.0,42080,100,300,Accura,MDX,1999,1,Y
558938,26.0,2005-06-08,Ohio,500/1000,1000.0,1199.44,5000000,True,6996.73,6,MALE,College,machine-op-inspct,hiking,Low Risk,own-child,70,Established Client,63600.0,0,619884,Young Adult,2015-02-22,3546,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Riverwood,5074 3rd St,0,Late Night,3,Unknown,1,2,YES,Other,52110.0,5790.0,5790.0,40530,500,1000,Nissan,Maxima,2012,0,N
275265,31.0,2004-11-15,Indiana,500/1000,500.0,708.64,6000000,True,8267.47,12,MALE,High School,machine-op-inspct,reading,Low Risk,unmarried,140,Established Client,53500.0,0,470610,Middle Aged,2015-01-06,3704,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,4546 Tree St,9,Morning,1,NO,0,2,YES,Police,77880.0,14160.0,7080.0,56640,500,1000,Suburu,Legacy,2015,0,N
921202,37.0,2014-12-28,Ohio,500/1000,500.0,1374.22,0,False,18322.93,13,FEMALE,MD,craft-repair,yachting,Low Risk,other-relative,160,Long-Term Client,45500.0,-37800,472135,Middle Aged,2015-01-19,22,Single Vehicle Collision,Side Collision,Total Loss,NY,Northbrook,3842 Solo Ridge,19,Evening,1,YES,1,0,NO,Other,72930.0,6630.0,13260.0,53040,500,1000,Accura,TL,2015,0,N
143972,39.0,1992-08-02,Indiana,500/1000,2000.0,1475.73,0,False,24103.59,16,FEMALE,High School,handlers-cleaners,camping,Low Risk,own-child,196,Long-Term Client,57000.0,-27300,477670,Middle Aged,2015-02-22,8239,Multi-vehicle Collision,Side Collision,Major Damage,VA,Columbus,8101 3rd Ridge,8,Morning,3,Unknown,2,0,NO,Police,60400.0,6040.0,6040.0,48320,500,1000,Nissan,Pathfinder,2014,0,N
183430,62.0,2002-06-25,Indiana,250/500,1000.0,1187.96,4000000,True,45538.47,38,MALE,JD,other-service,bungie-jumping,High Risk,own-child,460,Long-Term Client,0.0,0,618845,Elderly,2015-01-01,4573,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,5380 Pine St,20,Evening,3,NO,1,0,Unknown,Police,47160.0,0.0,5240.0,41920,250,500,Suburu,Impreza,2011,0,N
431876,41.0,2005-11-27,Illinois,500/1000,2000.0,875.15,0,False,15825.63,18,FEMALE,Associate,machine-op-inspct,skydiving,High Risk,own-child,217,Long-Term Client,46700.0,0,442479,Middle Aged,2015-02-10,3362,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,8957 Weaver Drive,15,Afternoon,3,Unknown,1,2,Unknown,Police,37840.0,0.0,4730.0,33110,500,1000,Accura,RSX,1996,0,N
285496,55.0,1994-05-27,Illinois,100/300,2000.0,1257.0,0,False,38757.5,31,MALE,High School,prof-specialty,paintball,High Risk,other-relative,370,Long-Term Client,72700.0,-68200,443920,Middle Aged,2015-01-11,7534,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,2526 Embaracadero Ave,20,Evening,3,NO,0,0,YES,Ambulance,71520.0,17880.0,5960.0,47680,100,300,Suburu,Forrestor,2000,1,Y
115399,55.0,1991-02-08,Indiana,100/300,2000.0,1268.79,0,False,43667.52,34,MALE,MD,priv-house-serv,chess,Low Risk,own-child,413,Long-Term Client,0.0,-31000,453148,Middle Aged,2015-01-19,8746,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,5667 4th Drive,15,Afternoon,1,Unknown,2,2,Unknown,Ambulance,98160.0,8180.0,16360.0,73620,100,300,Dodge,RAM,2011,1,Y
736882,40.0,1996-02-02,Indiana,100/300,1000.0,883.31,0,False,17445.37,20,MALE,College,craft-repair,kayaking,Medium Risk,husband,237,Long-Term Client,0.0,-53500,434733,Middle Aged,2015-02-24,6962,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,2502 Apache Hwy,6,Morning,1,NO,1,3,NO,Other,77880.0,7080.0,14160.0,56640,100,300,Ford,Escape,2005,0,N
699044,35.0,2013-12-05,Ohio,100/300,2000.0,1266.92,0,False,844.61,1,MALE,Masters,sales,polo,Medium Risk,own-child,8,New Client,0.0,0,613982,Middle Aged,2015-01-09,400,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,3418 Texas Lane,16,Afternoon,3,NO,1,3,YES,Other,71500.0,16500.0,11000.0,44000,100,300,Ford,Escape,2006,1,Y
863236,43.0,1990-09-20,Indiana,100/300,2000.0,1322.1,0,False,28314.98,21,MALE,High School,prof-specialty,golf,Low Risk,own-child,257,Long-Term Client,0.0,-29200,436984,Middle Aged,2015-01-28,8896,Parked Car,Unknown,Minor Damage,PA,Arlington,2533 Elm St,4,Late Night,1,YES,1,3,YES,Police,9020.0,1640.0,820.0,6560,100,300,Toyota,Camry,2005,0,N
608513,34.0,2002-07-18,Indiana,100/300,500.0,848.07,3000000,True,14275.84,17,MALE,JD,exec-managerial,chess,Low Risk,not-in-family,202,Long-Term Client,31000.0,-30200,607730,Middle Aged,2015-01-07,4556,Vehicle Theft,Unknown,Minor Damage,VA,Northbrook,3790 Andromedia Hwy,5,Late Night,1,YES,2,1,Unknown,None,5720.0,1040.0,520.0,4160,100,300,Suburu,Forrestor,2003,1,Y
914088,40.0,1990-02-08,Ohio,100/300,2000.0,1291.7,0,False,24111.73,19,FEMALE,JD,sales,kayaking,Medium Risk,not-in-family,224,Long-Term Client,0.0,-55600,609837,Middle Aged,2015-01-08,9100,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,3220 Rock Drive,21,Evening,1,NO,1,0,YES,Other,69840.0,7760.0,15520.0,46560,100,300,Dodge,Neon,2009,0,N
596785,45.0,2014-03-04,Illinois,500/1000,2000.0,1104.5,0,False,22182.04,20,FEMALE,PhD,machine-op-inspct,basketball,Medium Risk,unmarried,241,Long-Term Client,0.0,0,432211,Middle Aged,2015-02-15,348,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbrook,2100 Francis Drive,5,Late Night,1,NO,2,2,NO,Police,91650.0,14100.0,14100.0,63450,500,1000,Accura,TL,2011,0,N
908616,25.0,2000-02-18,Illinois,250/500,1000.0,954.16,0,False,5088.85,5,MALE,Masters,prof-specialty,video-games,Low Risk,husband,64,Established Client,53200.0,0,473328,Young Adult,2015-01-18,5448,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,4687 5th Drive,22,Evening,4,NO,0,0,Unknown,Ambulance,75600.0,12600.0,12600.0,50400,250,500,Toyota,Corolla,2005,0,N
666333,37.0,2008-06-19,Illinois,100/300,2000.0,1337.28,8000000,True,18499.04,14,MALE,JD,craft-repair,reading,Low Risk,husband,166,Long-Term Client,27500.0,0,610393,Middle Aged,2015-02-28,2445,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,9038 2nd Lane,10,Morning,3,NO,2,2,Unknown,Police,67140.0,7460.0,7460.0,52220,100,300,Ford,F150,2006,1,Y
336614,35.0,2003-08-01,Illinois,500/1000,1000.0,1088.34,0,False,14057.72,13,FEMALE,Associate,adm-clerical,yachting,Low Risk,other-relative,155,Long-Term Client,81100.0,0,614780,Middle Aged,2015-02-24,4225,Multi-vehicle Collision,Front Collision,Total Loss,NY,Arlington,6092 5th Ave,16,Afternoon,3,YES,2,3,NO,Police,29790.0,3310.0,3310.0,23170,500,1000,BMW,3 Series,2008,0,N
584859,30.0,1992-04-04,Illinois,100/300,1000.0,1558.29,0,False,14803.76,10,MALE,High School,farming-fishing,video-games,Low Risk,wife,114,Established Client,51400.0,-64000,472248,Young Adult,2015-01-09,8315,Multi-vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,8353 Britain Ridge,1,Late Night,3,NO,1,2,Unknown,Ambulance,77110.0,14020.0,14020.0,49070,100,300,Suburu,Impreza,2015,0,N
990493,37.0,1991-01-13,Illinois,500/1000,500.0,1415.68,0,False,17578.03,12,MALE,PhD,prof-specialty,yachting,Low Risk,own-child,149,Established Client,0.0,0,603381,Middle Aged,2015-02-12,8796,Single Vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,3540 Maple St,17,Afternoon,1,YES,0,1,YES,Fire,64800.0,10800.0,5400.0,48600,500,1000,Audi,A3,1999,0,N
129872,33.0,2010-08-08,Ohio,100/300,1000.0,1334.15,6000000,True,16343.34,12,MALE,High School,craft-repair,reading,Low Risk,not-in-family,147,Established Client,53300.0,-49200,479224,Middle Aged,2015-01-24,1630,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,3104 Sky Drive,15,Afternoon,1,YES,2,0,YES,Other,53100.0,10620.0,5310.0,37170,100,300,Mercedes,C300,1995,1,Y
200152,28.0,2003-03-09,Illinois,100/300,1000.0,988.45,0,False,5106.99,5,FEMALE,Masters,protective-serv,camping,Low Risk,unmarried,62,Established Client,0.0,0,430141,Young Adult,2015-01-09,4324,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,4981 Weaver St,3,Late Night,1,Unknown,1,1,YES,Police,60200.0,6020.0,6020.0,48160,100,300,Suburu,Forrestor,2004,1,Y
933293,49.0,1993-02-03,Illinois,500/1000,2000.0,1222.48,0,False,29441.39,24,FEMALE,JD,priv-house-serv,golf,Low Risk,unmarried,289,Long-Term Client,0.0,0,620757,Middle Aged,2015-01-18,8019,Parked Car,Unknown,Minor Damage,WV,Arlington,6676 Tree Lane,16,Afternoon,1,NO,1,1,YES,None,5330.0,1230.0,820.0,3280,500,1000,Suburu,Legacy,2001,0,N
485664,54.0,2002-11-25,Indiana,500/1000,2000.0,1155.55,0,False,41503.5,36,FEMALE,MD,craft-repair,bungie-jumping,High Risk,unmarried,431,Long-Term Client,65700.0,0,615901,Middle Aged,2015-01-21,4440,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Hillsdale,3930 Embaracadero St,4,Late Night,3,Unknown,2,0,Unknown,Police,62300.0,12460.0,6230.0,43610,500,1000,Jeep,Wrangler,2007,0,N
982871,37.0,1997-07-27,Indiana,250/500,500.0,1262.08,0,False,20929.49,17,MALE,JD,tech-support,video-games,Low Risk,wife,199,Long-Term Client,48500.0,0,474615,Middle Aged,2015-01-08,6374,Single Vehicle Collision,Front Collision,Major Damage,NC,Columbus,3422 Flute St,4,Late Night,1,Unknown,0,3,NO,Ambulance,60170.0,10940.0,10940.0,38290,250,500,Nissan,Pathfinder,2011,1,Y
206213,26.0,1995-05-08,Illinois,100/300,500.0,1451.62,0,False,9556.5,7,MALE,Associate,tech-support,kayaking,Medium Risk,not-in-family,79,Established Client,0.0,-55700,456446,Young Adult,2015-01-03,7180,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Columbus,4862 Lincoln Hwy,19,Evening,1,NO,2,2,Unknown,Ambulance,40000.0,8000.0,4000.0,28000,100,300,BMW,M5,2010,0,N
616337,34.0,2012-08-30,Indiana,250/500,500.0,1737.66,0,False,16797.38,10,MALE,Associate,transport-moving,chess,Low Risk,unmarried,116,Established Client,0.0,-24100,470577,Middle Aged,2015-01-01,854,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,5719 2nd Lane,1,Late Night,1,Unknown,1,1,Unknown,Police,97080.0,16180.0,16180.0,64720,250,500,BMW,X5,2001,1,Y
448961,38.0,2006-04-30,Illinois,500/1000,500.0,1475.93,0,False,4550.78,3,FEMALE,College,prof-specialty,hiking,Low Risk,husband,37,Established Client,0.0,-67400,441648,Middle Aged,2015-01-16,3183,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Springfield,3221 Solo Ridge,17,Afternoon,3,YES,1,0,NO,Other,51660.0,5740.0,5740.0,40180,500,1000,Dodge,RAM,2010,0,N
790442,30.0,2003-04-13,Ohio,250/500,500.0,538.17,0,False,4753.84,9,FEMALE,PhD,transport-moving,reading,Low Risk,own-child,106,Established Client,49700.0,-60200,433782,Young Adult,2015-02-10,4321,Single Vehicle Collision,Rear Collision,Total Loss,NC,Arlington,6660 MLK Drive,23,Evening,1,NO,2,2,NO,Other,51120.0,5680.0,5680.0,39760,250,500,Mercedes,E400,2005,0,N
108844,44.0,2007-12-05,Illinois,100/300,2000.0,1081.08,0,False,24234.21,22,MALE,JD,priv-house-serv,reading,Low Risk,unmarried,269,Long-Term Client,36400.0,-28700,468104,Middle Aged,2015-02-14,2628,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,1699 Oak Drive,14,Afternoon,1,YES,0,2,Unknown,Other,56400.0,11280.0,11280.0,33840,100,300,Toyota,Highlander,2014,0,N
430029,40.0,2006-08-21,Illinois,250/500,1000.0,1454.43,0,False,32118.66,22,FEMALE,MD,protective-serv,yachting,Low Risk,husband,265,Long-Term Client,0.0,0,459407,Middle Aged,2015-02-21,3106,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Arlington,4234 Cherokee Lane,17,Afternoon,3,NO,2,3,Unknown,Other,55120.0,6890.0,0.0,48230,250,500,Accura,MDX,2002,0,N
529112,33.0,1990-01-08,Indiana,100/300,500.0,1240.47,0,False,16849.72,14,FEMALE,Associate,other-service,polo,Medium Risk,husband,163,Long-Term Client,35300.0,0,472573,Middle Aged,2015-02-18,9172,Multi-vehicle Collision,Rear Collision,Total Loss,NC,Northbend,7476 4th St,11,Morning,3,YES,1,1,Unknown,Fire,77110.0,0.0,14020.0,63090,100,300,Honda,Civic,2014,0,N
939631,47.0,1990-03-18,Ohio,500/1000,2000.0,1273.7,4000000,True,37680.29,30,MALE,College,other-service,kayaking,Medium Risk,husband,355,Long-Term Client,0.0,0,433473,Middle Aged,2015-01-10,9064,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,8907 Tree Ave,19,Evening,3,NO,2,1,NO,Fire,62800.0,6280.0,6280.0,50240,500,1000,Audi,A3,2003,1,Y
866931,34.0,2008-01-07,Indiana,500/1000,1000.0,1123.87,8000000,True,16389.77,15,FEMALE,PhD,protective-serv,dancing,Medium Risk,other-relative,175,Long-Term Client,0.0,0,446326,Middle Aged,2015-02-26,2607,Vehicle Theft,Unknown,Trivial Damage,NY,Arlington,6619 Flute Ave,5,Late Night,1,Unknown,2,0,YES,Police,7290.0,810.0,810.0,5670,500,1000,Volkswagen,Passat,1995,0,N
582011,35.0,1997-03-10,Illinois,100/300,1000.0,1245.89,0,False,19934.24,16,FEMALE,Masters,exec-managerial,movies,Low Risk,wife,192,Long-Term Client,0.0,-40300,435481,Middle Aged,2015-01-01,6506,Single Vehicle Collision,Rear Collision,Total Loss,WV,Springfield,6011 Britain St,19,Evening,1,NO,0,0,Unknown,Other,76600.0,15320.0,7660.0,53620,100,300,Mercedes,C300,2000,0,N
691189,59.0,2004-01-10,Ohio,250/500,2000.0,1326.62,7000000,True,47537.22,36,MALE,MD,other-service,bungie-jumping,High Risk,own-child,430,Long-Term Client,0.0,0,477310,Elderly,2015-01-03,4011,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,5104 Francis Drive,19,Evening,3,Unknown,0,3,YES,Fire,81800.0,16360.0,8180.0,57260,250,500,Nissan,Pathfinder,1998,0,N
537546,27.0,1994-08-20,Illinois,100/300,2000.0,1073.83,0,False,8143.21,8,FEMALE,JD,farming-fishing,polo,Medium Risk,husband,91,Established Client,0.0,0,609930,Young Adult,2015-01-17,7455,Vehicle Theft,Unknown,Trivial Damage,NY,Arlington,2280 4th Ave,4,Late Night,1,Unknown,1,2,Unknown,None,7260.0,1320.0,660.0,5280,100,300,BMW,M5,2008,0,N
394975,39.0,2002-06-02,Indiana,100/300,1000.0,1530.52,0,False,27676.9,18,MALE,College,armed-forces,basketball,Medium Risk,not-in-family,217,Long-Term Client,0.0,0,603993,Middle Aged,2015-02-22,4648,Vehicle Theft,Unknown,Minor Damage,WV,Northbend,2644 Elm Drive,8,Morning,1,Unknown,2,1,YES,None,4300.0,430.0,430.0,3440,100,300,Toyota,Corolla,2000,0,N
729634,40.0,1994-04-28,Indiana,100/300,500.0,1201.41,0,False,22326.2,19,FEMALE,JD,priv-house-serv,movies,Low Risk,husband,223,Long-Term Client,88400.0,-46500,437818,Middle Aged,2015-01-27,7579,Multi-vehicle Collision,Side Collision,Major Damage,NC,Columbus,7466 MLK Ridge,7,Morning,3,YES,1,0,Unknown,Police,70510.0,12820.0,12820.0,44870,100,300,Suburu,Forrestor,1999,0,N
282195,39.0,2014-08-17,Ohio,250/500,1000.0,1393.57,0,False,22645.51,16,MALE,PhD,machine-op-inspct,movies,Low Risk,not-in-family,195,Long-Term Client,47600.0,-39600,478423,Middle Aged,2015-02-27,194,Parked Car,Unknown,Minor Damage,VA,Northbend,5821 2nd St,5,Late Night,1,NO,0,1,YES,Police,2640.0,480.0,480.0,1680,250,500,Ford,F150,2009,0,N
420810,26.0,2007-08-11,Ohio,100/300,1000.0,1276.57,0,False,2340.38,2,MALE,PhD,craft-repair,skydiving,High Risk,not-in-family,22,New Client,71500.0,0,467784,Young Adult,2015-01-06,2705,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,6723 Best Drive,3,Late Night,1,YES,1,2,NO,Fire,78900.0,15780.0,7890.0,55230,100,300,Chevrolet,Silverado,1995,0,N
524836,56.0,2008-11-20,Indiana,250/500,500.0,1082.49,0,False,39601.09,37,FEMALE,PhD,prof-specialty,chess,Low Risk,unmarried,439,Long-Term Client,36100.0,-55000,606714,Elderly,2015-02-28,2291,Multi-vehicle Collision,Front Collision,Major Damage,SC,Columbus,4866 4th Hwy,12,Afternoon,3,Unknown,2,3,Unknown,Fire,56430.0,0.0,6270.0,50160,250,500,Honda,CRV,2014,0,N
307195,32.0,1995-10-18,Indiana,500/1000,1000.0,1414.74,0,False,11082.13,8,FEMALE,Masters,adm-clerical,hiking,Low Risk,own-child,94,Established Client,0.0,0,464691,Middle Aged,2015-02-22,7067,Parked Car,Unknown,Minor Damage,VA,Riverwood,5418 Britain Ave,19,Evening,1,NO,1,3,NO,None,2400.0,300.0,300.0,1800,500,1000,Chevrolet,Silverado,2014,0,N
623648,39.0,1993-05-19,Illinois,250/500,2000.0,1470.06,0,False,1347.55,1,MALE,PhD,other-service,yachting,Low Risk,husband,11,New Client,56600.0,-45800,431683,Middle Aged,2015-01-07,7903,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,4296 Pine Hwy,22,Evening,1,YES,0,1,NO,Ambulance,65790.0,7310.0,7310.0,51170,250,500,Saab,93,2007,0,N
485372,36.0,2005-02-26,Ohio,250/500,2000.0,870.63,0,False,10955.43,13,FEMALE,MD,adm-clerical,kayaking,Medium Risk,own-child,151,Long-Term Client,94800.0,-58500,431725,Middle Aged,2015-01-06,3601,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,2299 1st St,12,Afternoon,3,NO,1,1,NO,Police,62920.0,11440.0,5720.0,45760,250,500,Ford,Escape,2000,0,N
598554,34.0,1990-02-14,Indiana,100/300,500.0,795.23,0,False,10205.45,13,MALE,PhD,machine-op-inspct,base-jumping,High Risk,other-relative,154,Long-Term Client,36900.0,0,609216,Middle Aged,2015-01-10,9096,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,6618 Cherokee Drive,15,Afternoon,3,YES,2,1,Unknown,Police,69480.0,15440.0,0.0,54040,100,300,Nissan,Maxima,2014,1,Y
303987,44.0,1993-09-30,Illinois,500/1000,1000.0,1168.2,0,False,23850.75,20,MALE,JD,handlers-cleaners,basketball,Medium Risk,husband,245,Long-Term Client,69100.0,0,452787,Middle Aged,2015-02-11,7804,Multi-vehicle Collision,Side Collision,Total Loss,OH,Springfield,7459 Flute St,23,Evening,3,NO,0,3,NO,Other,44280.0,7380.0,3690.0,33210,500,1000,Honda,Accord,1997,0,N
